.pl 16959
CisloPrijemky;DatumVydeje;CisloDodavatele;NazevDodavatele;Celkem0;Celkem5;Celkem23;Upozorneni;CisloFakturyD
00268$;737825$;00639$;HYGOTREND, s.r.o.$;0.00$;0.00$;8443.90$; $;2101464
00269$;737825$;00123$;Superdiskont s.r.o.$;0.00$;0.00$;1103.00$; $;122112637 Hotovì
00270$;737825$;00087$;Eastmop spol.s r.o.$;0.00$;0.00$;8192.02$; $;210256
00271$;737825$;00200$;Novoplast,ing.Jiøí Vošoust$;0.00$;0.00$;16750.00$; $;210100094
00272$;737825$;00975$;Velkoobchod FAVE s.r.o.$;0.00$;0.00$;14381.68$; $;210100762
00273$;737825$;00772$;DISTRIMO$;0.00$;0.00$;4621.20$; $;3110211429
00274$;737825$;00734$;FIDE s.r.o.$;0.00$;0.00$;2094.68$; $;2170047
00275$;737825$;00687$;Avex Liberec s.r.o.$;0.00$;0.00$;1815.45$; $;1165101
00276$;737825$;00687$;Avex Liberec s.r.o.$;0.00$;0.00$;3132.53$; $;1165102
00277$;737825$;00022$;MATTES TRADING s.r.o.$;0.00$;0.00$;3498.96$; $;2014232
00278$;737826$;00599$;Káva-Praha$;0.00$;0.00$;1644.00$; $;1914015945 hotovì
00279$;737826$;01058$;Vìra Nižníková NIMPEX$;0.00$;0.00$;4224.00$; $;210100100
00280$;737826$;00140$;Melitrade a.s.$;0.00$;0.00$;18232.00$; $; 
00281$;737826$;00858$;Diversey Èeská republika s.r.o$;0.00$;0.00$;10926.00$; $;5070214151
00282$;737826$;00002$;Kartacovny a.s. Pelhrimov$;0.00$;0.00$;27298.04$; $;21101637
00283$;737826$;00638$;Cormen Bystøice$;0.00$;0.00$;75573.09$; $;0221300084
00284$;737826$;00586$;FLEXOBAL s.r.o.$;35000.00$;0.00$;0.00$; $;1012108
00285$;737826$;00237$;Ecolab Hygiene s.r.o.$;0.00$;0.00$;12222.88$; $;210004029
00286$;737826$;00590$;Zempomarket a.s. Beèváry$;0.00$;0.00$;226800.00$;+ PR 201$;65267145
00288$;737829$;00245$;Lipa velkoobchod papirem s.r.o.$;0.00$;0.00$;1220.00$; $;210101232
00289$;737829$;00029$;Severochema v.d. Liberec$;0.00$;0.00$;17544.08$; $;1121001102
00290$;737829$;00206$;Espace velkoobchod drogerie s.r.o.$;0.00$;0.00$;4770.28$; $;2130720
00291$;737829$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;16029.80$; $;1521000777
00292$;737829$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;36697.81$; $;1521000776
00293$;737829$;00086$;ZVG$;0.00$;0.00$;7400.00$; $;12100232
00294$;737829$;00629$;KALVEI, s.r.o.$;0.00$;0.00$;32656.16$; $;2101000922
00295$;737829$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;20070.00$; $;1521000807
00296$;737829$;00465$;Osapo s.r.o.$;0.00$;0.00$;14820.10$; $;910417
00297$;737829$;00517$;Simply Clean s.r.o.$;0.00$;0.00$;3340.88$; $;210508
00298$;737830$;01058$;Vìra Nižníková NIMPEX$;0.00$;0.00$;1360.00$; $;210100104
00299$;737830$;01058$;Vìra Nižníková NIMPEX$;0.00$;0.00$;1952.00$; $;210100105
00300$;737830$;00237$;Ecolab Hygiene s.r.o.$;0.00$;0.00$;-17702.40$; $;219000093
00301$;737830$;00179$;Tomil s.r.o.$;0.00$;0.00$;19545.10$; $;200210295
00302$;737830$;00104$;JUTA, a.s. Olomouc$;0.00$;0.00$;4480.00$; $;220394
00303$;737830$;00449$;Canis Safety a.s.$;0.00$;0.00$;8964.00$; $;111420211580
00304$;737830$;00228$;OMA CZ, a.s. Straz p.R.$;0.00$;0.00$;4194.00$; $;102100848
00305$;737831$;00812$;* Reklamace$;0.00$;0.00$;4574.70$;vyøízení reklamace Zempo - k PR 235$; 
00287$;737829$;00099$;* Inventurni rozdily$;0.00$;0.00$;1167.96$; $; 
