.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;Celkem0;Celkem5;Celkem23;Zisk;NahradniPlneni;Prebirajici;Upozorneni;Obsluha;CisloObjednavkyD;CisloFaktury;KodSumFa;Vybrane;Rozvoz;FormaUhrady
00125$;737805$;09820$;Vojensk· l·zeÚsk· a rekreaËnÌ    SM$;0$;0$;88003$;20542$;A$;Sedl·Ëkov· KvÏta$;ROZVOZ + FAKTURA$;HvÏzdov· ä·rka$;12956/2020-VLRZ/B/ZR$;00847$; $;0$; $; 
00126$;737805$;08008$;Model·rna LIAZ spol.s r.o.$;0$;587$;4250$;1502$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78229$;00927$; $;0$;R$; 
00127$;737808$;01042$;EFTEC /Czech Republic/ a.s.$;0$;0$;6433$;1812$;N$;DaÚkov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78234$;00921$;dr$;0$;R$; 
00128$;737808$;07131$;HOKAMI CZ, s.r.o.$;0$;0$;9043$;2509$;N$;HoleËkov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;710/210029$;00921$;dr$;0$;R$; 
00129$;737808$;00261$;Ji¯Ì Burger - Fischer z·vod 5$;0$;0$;3727$;579$;N$;JelÌnkov·$;ROZVOZ + DODACÕ LIST //v p·tek 22.1 do 11.30$;éateËkov· MarkÈta$;78252$;00930$;bur$;0$;R$; 
00130$;737808$;02781$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;343$;86$;N$;Boöek$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;tel.$;00933$; $;0$;R$; 
00131$;737808$;00904$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;100$;31$;N$;Peckov·, Kotrouöov·$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$;78250$;00921$;dr$;0$; $; 
00132$;737808$;07613$;WIEDEN s.r.o.$;0$;0$;525$;139$;N$;BulÌ¯ov·$;ROZVOZ + DODACÕ LIST  p¯idat ke zboûÌ$;Fialov· Jana$;78262$;00921$;dr$;0$;R$; 
00133$;737808$;03891$;Krajsk· nemocnice Liberec   1011$;0$;0$;17$;3$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00134$;737808$;03898$;Krajsk· nemocnice Liberec   1215$;0$;0$;1257$;361$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00135$;737808$;03899$;Krajsk· nemocnice Liberec   1331$;0$;0$;144$;32$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00136$;737808$;02939$;Krajsk· nemocnice Liberec   1348$;0$;0$;7643$;3072$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00137$;737808$;02060$;Krajsk· nemocnice Liberec   2013$;0$;0$;48$;12$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00138$;737808$;03904$;Krajsk· nemocnice Liberec   2113$;0$;0$;2893$;915$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00139$;737808$;03905$;Krajsk· nemocnice Liberec   2129$;0$;0$;3514$;1315$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00140$;737808$;03890$;Krajsk· nemocnice Liberec   2141HDS$;0$;0$;318$;94$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00141$;737808$;03906$;Krajsk· nemocnice Liberec   2141PIO$;0$;0$;302$;86$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00142$;737808$;03907$;Krajsk· nemocnice Liberec   2151$;0$;0$;701$;221$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00143$;737808$;02122$;Krajsk· nemocnice Liberec 2152 TURN$;0$;0$;933$;264$;N$;Hanuöov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00144$;737808$;03908$;Krajsk· nemocnice Liberec   2162$;0$;0$;160$;55$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00145$;737808$;03910$;Krajsk· nemocnice Liberec   2182$;0$;0$;1107$;386$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00146$;737808$;03911$;Krajsk· nemocnice Liberec   2211$;0$;0$;669$;192$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00147$;737808$;03917$;Krajsk· nemocnice Liberec   2272$;0$;0$;286$;77$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00148$;737808$;03918$;Krajsk· nemocnice Liberec   2274$;0$;0$;34$;6$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00149$;737808$;03930$;Krajsk· nemocnice Liberec   2275$;0$;0$;50$;7$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00150$;737808$;03924$;Krajsk· nemocnice Liberec   2276$;0$;0$;48$;12$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00151$;737808$;03919$;Krajsk· nemocnice Liberec   2312$;0$;0$;3894$;1066$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00152$;737808$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;1593$;486$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78275$;00927$; $;0$;R$; 
00153$;737808$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;841$;179$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ v ˙ter˝ r·no$;Chocholouökov· Ivana$;78276$;00925$;DPL$;0$; $; 
00154$;737808$;03912$;Krajsk· nemocnice Liberec   2222$;0$;0$;831$;190$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00155$;737808$;07613$;WIEDEN s.r.o.$;0$;0$;192$;56$;N$;BulÌ¯ov·$;VLASTNÕ ODVOZ$;Chocholouökov· Ivana$;os$;00921$;dr$;0$; $; 
00156$;737808$;03892$;Krajsk· nemocnice Liberec   2231$;0$;0$;1795$;406$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00157$;737808$;03913$;Krajsk· nemocnice Liberec   2233$;0$;0$;562$;196$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00158$;737808$;03914$;Krajsk· nemocnice Liberec   2242$;0$;0$;433$;138$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00159$;737808$;03895$;Krajsk· nemocnice Liberec   2251$;0$;0$;480$;160$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00160$;737808$;03920$;Krajsk· nemocnice Liberec   2322$;0$;0$;2189$;730$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00161$;737808$;03915$;Krajsk· nemocnice Liberec   2262$;0$;0$;443$;111$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00162$;737808$;03921$;Krajsk· nemocnice Liberec   2342$;0$;0$;1058$;404$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00163$;737808$;03922$;Krajsk· nemocnice Liberec   2351$;0$;0$;191$;50$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00164$;737808$;03916$;Krajsk· nemocnice Liberec   2271$;0$;0$;2453$;601$;N$;Mejsnarov·$; $;Chocholouökov· Ivana$; $;00898$;nem$;0$; $; 
00165$;737808$;03758$;Krajsk· nemocnice Liberec   2352$;0$;0$;1020$;310$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00166$;737808$;05664$;Krajsk· nemocnice Liberec   2353$;0$;0$;3147$;772$;N$;Mejsnarova$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00167$;737808$;03923$;Krajsk· nemocnice Liberec   2362P7A$;0$;0$;444$;116$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00168$;737808$;03925$;Krajsk· nemocnice Liberec   2412$;0$;0$;487$;134$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00169$;737808$;03926$;Krajsk· nemocnice Liberec   2422$;0$;0$;1685$;494$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00170$;737808$;03927$;Krajsk· nemocnice Liberec   2428$;0$;0$;720$;219$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00171$;737808$;03929$;Krajsk· nemocnice Liberec   2432$;0$;0$;911$;299$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00172$;737808$;03928$;Krajsk· nemocnice Liberec   2443$;0$;0$;238$;73$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00173$;737808$;03931$;Krajsk· nemocnice Liberec   2454$;0$;0$;95$;12$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00174$;737808$;00174$;Krajsk· nemocnice Liberec  2455 FR›$;0$;0$;95$;25$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00175$;737808$;07663$;Krajsk· nemocnice Liberec   2458$;0$;0$;311$;90$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00176$;737808$;03932$;Krajsk· nemocnice Liberec   2511PIO$;0$;0$;757$;202$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00177$;737808$;03933$;Krajsk· nemocnice Liberec   2511RTG$;0$;0$;260$;72$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00178$;737808$;03934$;Krajsk· nemocnice Liberec   2521$;0$;0$;110$;31$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00179$;737808$;03935$;Krajsk· nemocnice Liberec   2542$;0$;0$;917$;292$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00180$;737808$;03936$;Krajsk· nemocnice Liberec   2551$;0$;0$;794$;252$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00181$;737808$;03937$;Krajsk· nemocnice Liberec   2612$;0$;0$;2411$;573$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00182$;737808$;03938$;Krajsk· nemocnice Liberec   2622$;0$;0$;322$;73$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00183$;737808$;03940$;Krajsk· nemocnice Liberec   2636$;0$;0$;264$;58$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00184$;737808$;03941$;Krajsk· nemocnice Liberec   2642$;0$;0$;95$;35$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00185$;737808$;03942$;Krajsk· nemocnice Liberec   2711$;0$;0$;338$;93$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00186$;737808$;03943$;Krajsk· nemocnice Liberec   2721$;0$;0$;2298$;711$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00187$;737808$;03944$;Krajsk· nemocnice Liberec   2731$;0$;0$;111$;28$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00188$;737808$;03945$;Krajsk· nemocnice Liberec   2733$;0$;0$;166$;46$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00189$;737808$;03946$;Krajsk· nemocnice Liberec   2741$;0$;0$;1417$;405$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00190$;737808$;03947$;Krajsk· nemocnice Liberec   2751$;0$;0$;66$;11$;N$;Mejsnarov·$; $;éateËkov· MarkÈta$; $;00898$;nem$;0$; $; 
00191$;737808$;03948$;Krajsk· nemocnice Liberec   2761$;0$;0$;180$;73$;N$;Mejsnarov·$;ROZVOZ + FAKTURA$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00192$;737808$;05466$;Krajsk· nemocnice Liberec   2781$;0$;0$;222$;62$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00193$;737808$;05446$;Krajsk· nemocnice Liberec 3112 TURN$;0$;0$;3191$;634$;N$;Hanuöov·$; $;éateËkov· MarkÈta$; $;00898$;nem$;0$; $; 
00194$;737808$;05464$;Krajsk· nemocnice Liberec 3214 TURN$;0$;0$;799$;341$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00195$;737808$;05443$;Krajsk· nemocnice Liberec 3262 TURN$;0$;0$;520$;197$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00196$;737808$;05454$;Krajsk· nemocnice Liberec 3271 TURN$;0$;0$;377$;158$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00197$;737808$;03894$;Krajsk· nemocnice Liberec 3272 TURN$;0$;0$;572$;170$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00198$;737808$;05444$;Krajsk· nemocnice Liberec 3342 TURN$;0$;0$;291$;88$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00199$;737808$;05453$;Krajsk· nemocnice Liberec 3412 TURN$;0$;0$;187$;51$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00200$;737808$;05460$;Krajsk· nemocnice Liberec 3811 TURN$;0$;0$;72$;16$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00201$;737808$;07581$;Krajsk· nemocnice Liberec  4151 FR›$;0$;0$;73$;22$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00202$;737808$;07812$;Krajsk· nemocnice Liberec  4212 FR›$;0$;0$;48$;9$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00203$;737808$;04147$;Krajsk· nemocnice Liberec  4271 FR›$;0$;0$;219$;57$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00204$;737808$;08096$;Krajsk· nemocnice Liberec  4812 FR›$;0$;0$;441$;161$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00205$;737808$;03957$;Krajsk· nemocnice Liberec   6081$;0$;0$;76$;26$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00206$;737808$;03958$;Krajsk· nemocnice Liberec   8211$;0$;0$;109$;27$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00207$;737808$;07258$;Krajsk· nemocnice Liberec 8212 TURN$;0$;0$;96$;28$;N$;Hanuöov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00208$;737808$;03959$;Krajsk· nemocnice Liberec   8221$;0$;0$;106$;40$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00209$;737808$;03759$;Krajsk· nemocnice Liberec  8253 FR›$;0$;0$;190$;46$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00210$;737808$;03962$;Krajsk· nemocnice Liberec   8261$;0$;0$;34$;5$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00211$;737808$;03964$;Krajsk· nemocnice Liberec   8414$;0$;0$;300$;82$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00212$;737808$;09421$;Krajsk· nemocnice Liberec   8424$;0$;0$;5587$;1736$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00213$;737808$;03960$;Krajsk· nemocnice Liberec   8476$;0$;0$;1383$;323$;N$;Mejsnarov·$; $;éateËkov· MarkÈta$; $;00898$;nem$;0$; $; 
00214$;737808$;03967$;Krajsk· nemocnice Liberec   8492$;0$;0$;470$;119$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00215$;737808$;05455$;Krajsk· nemocnice Liberec 8712 TURN$;0$;0$;1961$;584$;N$;Hanuöov·$;VLASTNÕ ODVOZ$;éateËkov· MarkÈta$; $;00898$;nem$;0$; $; 
00216$;737808$;03968$;Krajsk· nemocnice Liberec   9488$;0$;0$;1592$;429$;N$;Mejsnarov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$; $;00898$;nem$;0$;R$; 
00217$;737809$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;630$;268$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ$;éateËkov· MarkÈta$; $;00925$;DPL$;0$; $; 
00218$;737809$;00372$;BMTO GROUP a.s.$;0$;0$;2773$;871$;N$;BartoÚ, Buöek$;VLASTNÕ ODVOZ dnes dopoledne$;Chocholouökov· Ivana$;78281$;00921$;dr$;0$; $; 
00219$;737809$;02117$;OSAPO, s.r.o.$;0$;0$;6014$;812$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210097$;00932$; $;0$; $; 
00220$;737809$;04200$;ESO ˙klid,spol.s.r.o.$;0$;0$;8591$;1563$;N$;Koubovsk·$;ROZVOZ + DODACÕ LIST VOLAT PÿEDEM!!!!!$;Chocholouökov· Ivana$;78304$;00928$; $;0$;R$; 
00221$;737809$;02117$;OSAPO, s.r.o.$;0$;0$;167$;40$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210076$;00932$; $;0$; $; 
00222$;737810$;02117$;OSAPO, s.r.o.$;0$;0$;443$;65$;N$;Abrah·m$;VLASTNÕ ODVOZ$;éateËkov· MarkÈta$;osobnÏ$;00932$; $;0$; $; 
00223$;737810$;02117$;OSAPO, s.r.o.$;0$;0$;208500$;18150$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$; $;00932$; $;0$; $; 
00224$;737810$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;19090$;6794$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;HvÏzdov· ä·rka$; $;00927$; $;0$;R$; 
00225$;737811$;02781$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;832$;239$;N$;Boöek$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;tel.$;00933$; $;0$;R$; 
00226$;737811$;01909$;Frydlanske strojirny Rasl a Syn a.s$;0$;0$;2424$;700$;N$;Bajan$;ROZVOZ + DODACÕ LIST v p·tek veze LIPA$;Chocholouökov· Ivana$;78352$;00921$;dr$;0$;R$; 
00227$;737811$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;5592$;1205$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ v p·tek r·no$;Chocholouökov· Ivana$;78363$;00925$;DPL$;0$; $; 
00228$;737812$;02970$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MB$;0$;0$;1089$;174$;N$;Kauck·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;78211$;00926$;MIJ$;0$;R$; 
00229$;737812$;02920$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MH$;0$;0$;10056$;1356$;N$;MatÏjkov·$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;tel.$;00926$;MIJ$;0$;R$; 
00230$;737812$;02970$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MB$;0$;0$;11384$;1739$;N$;Kauck·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78383$;00926$;MIJ$;0$;R$; 
00231$;737812$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;204$;54$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ$;éateËkov· MarkÈta$; $;00925$;DPL$;0$; $; 
00232$;737812$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;3578$;862$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ //vyzvedne v pondÏlÌ r·no$;éateËkov· MarkÈta$;78387®$;00925$;DPL$;0$; $; 
00233$;737812$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;2923$;1015$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78398$;00927$; $;0$;R$; 
00234$;737815$;02781$;Z·kladnÌ ökola a Mate¯sk· ökola$;0$;0$;319$;189$;N$;Boöek$;ROZVOZ + DODACÕ LIST$;éateËkov· MarkÈta$;tel.$;00933$; $;0$;R$; 
00235$;737815$;02117$;OSAPO, s.r.o.$;0$;0$;4113$;534$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210136$;00932$; $;0$; $; 
00236$;737816$;00372$;BMTO GROUP a.s.$;0$;0$;675$;176$;N$;BartoÚ, Buöek$;VLASTNÕ ODVOZ dnes dopoledne$;Chocholouökov· Ivana$;78429$;00921$;dr$;0$; $; 
00237$;737816$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;1118$;225$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ //vyzvedne ve Ëtvrtek$;éateËkov· MarkÈta$;78439$;00925$;DPL$;0$; $; 
00238$;737817$;00372$;BMTO GROUP a.s.$;0$;0$;191$;54$;N$;BartoÚ, Buöek$;VLASTNÕ ODVOZ //vyzvednou se vËerejöÌ objedn·vkou dnes$;éateËkov· MarkÈta$;78470$;00921$;dr$;0$; $; 
00239$;737817$;02117$;OSAPO, s.r.o.$;0$;0$;2965$;681$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210163$;00932$; $;0$; $; 
00240$;737817$;00372$;BMTO GROUP a.s.$;0$;0$;1385$;528$;N$;BartoÚ, Buöek$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78500$;00921$;dr$;0$;R$; 
00241$;737818$;03256$;Blyth s.r.o.  D$;0$;0$;1029$;180$;N$;ätÏp·n Srb$;VLASTNÕ ODVOZ //dnes$;éateËkov· MarkÈta$;519/2021$;00923$; $;0$; $; 
00242$;737818$;00113$;DopravnÌ podnik mÏst Liberce a$;0$;0$;346$;75$;N$;Tomis,B¯inËil$;VLASTNÕ ODVOZ$;éateËkov· MarkÈta$; $;00925$;DPL$;0$; $; 
00243$;737818$;00259$;Ji¯Ì Burger - Webasto$;0$;0$;54578$;8912$;N$;H·kov·$;ROZVOZ + DODACÕ LIST zavÈst 2.2.2021 dopoledne$;Chocholouökov· Ivana$;78510$;00930$;bur$;0$;R$; 
00244$;737818$;00260$;Ji¯Ì Burger - Laird$;0$;0$;34894$;5457$;N$;Viktor$;ROZVOZ + DODACÕ LIST domluvit se p¯edem o z·vozu!!!!!!!!!!!!!!!!!!!!!!!$;Chocholouökov· Ivana$;78511$;00930$;bur$;0$;R$; 
00245$;737818$;07613$;WIEDEN s.r.o.$;0$;0$;10970$;3128$;N$;BulÌ¯ov·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78527$;00921$;dr$;0$;R$; 
00246$;737818$;02117$;OSAPO, s.r.o.$;0$;0$;29$;4$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210169$;00932$; $;0$; $; 
00247$;737818$;02117$;OSAPO, s.r.o.$;0$;0$;32908$;3606$;N$;Drbohlav$;VLASTNÕ ODVOZ$;HvÏzdov· ä·rka$;210124$;00932$; $;0$; $; 
00248$;737819$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;7467$;2417$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78535$;00927$; $;0$;R$; 
00249$;737819$;00372$;BMTO GROUP a.s.$;0$;0$;86$;28$;N$;BartoÚ, Buöek$;VLASTNÕ ODVOZ  dnes$;Fialov· Jana$;tel.$;00921$;dr$;0$; $; 
00250$;737819$;08008$;Model·rna LIAZ spol.s r.o.$;0$;0$;1201$;390$;A$;Ji¯Ì Matouö$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78543$;00927$; $;0$;R$; 
00251$;737819$;04200$;ESO ˙klid,spol.s.r.o.$;0$;0$;861$;116$;N$;Koubovsk·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78304$;00928$; $;0$;R$; 
00252$;737819$;02970$;MIJA-PRACOVNÕ ODÃVY s.r.o.       MB$;0$;0$;1034$;166$;N$;Kauck·$;ROZVOZ + DODACÕ LIST$;Chocholouökov· Ivana$;78552$;00000$;MIJ$;0$;R$; 
