.pl 16959
CisloDodavatele;NazevDodavatele;NazevDodavatele2;Ulice;Mesto;Psc;Ico;Dic1;Dic2;Zastoupeny;ZastoupenyOZ;Telefon;TelefonOz;Mail;MailOZ;Poznamka1;Poznamka2;Poznamka3;Poznamka4;Poznamka5;DatumPorizeni;PocetDnuObj;ZavozDen
00261$;MOTIP DUPLI s.r.o.$; $;Popuvky$;Troubsko$;66441$;60740591$;CZ$;60740591$; $; $;5/47424700$;547 228 686$;prodej@cz.motipdupli.com$; $;fax 547228686$;0-5% sleva obj.nad 2500KË jinak man.poplatek 200,-$;OZ p. ZajÌc 603 200 604$; $; $;729556$;0$; 
00262$;Petr Vykruta - FLORIDA$; $;Kounicka 46$;Praha 10$;10000$;41840411$;CZ$;7304220209$; $; $; $; $; $; $; $; $; $; $; $;729586$;0$; 
00263$;Ceslor s.r.o.$; $;Fugnerovo nam.1$;Praha 2$;12000$;60491850$;CZ$;60491850$; $; $;0603837204$; $; $; $; $; $;NEBRAT äPATNÃ PRODEJN… ZBOéÕ$; $; $;729597$;0$; 
00264$;J & J Liberec$; $;Olbrachtova 621$;Liberec 15$;46015$; $; $; $;Jurigova$; $;5159479$; $; $; $;cenik v deskach Severochema$;dohoda sleva -12% 7.8.98 z ceny 12.50 t.j. 11,- + DPH$; $; $; $;729612$;0$; 
00265$;Plynarna Linde Vratislavice$; $; $;Liberec$; $; $; $; $; $; $;2751837$; $; $; $;dohoda flasky ihned vymena ona odepise vratku druhy den$;6.20/lahev pron·jem za den rozpoËÌtat do ceny$;p. SILACEK                          LAHVE VRATIT ODPOLEDNE$; $; $;729635$;0$; 
00266$;NINO - Ales Bouchal$; $;Tr.17.listopadu 4$;Prerov$;75000$;43544941$;CZ$;6907245697$; $; $; $; $; $; $; $; $; $; $; $;729643$;0$; 
00267$;ProGast S&N v.o.s.$; $;BezruËova 200$;Mari·nskÈ L·znÏ$;35301$; $; $; $;Smatana$; $;603 219 797$; $;progastml@guick.cz$; $;p¯efakturace pro L·znÏ Kynûvart$; $; $; $; $;729646$;0$; 
00268$;BoËek s.r.o.$; $;Blanenska 355$;Kurim$;66434$;10555633$;CZ$;6610221200$;Vladimir Racek$; $;05/44228066,44228053$; $; $; $;0602/843539 HLUBNA 15% Drutep 8% Styl {Vulkan 12%,Sever5%}$;sklad pi ROCAKOVA 0602/847392$;Rocarkova prefakturace, fax obj.= 05/44228028$; $; $;729647$;0$; 
00269$;RollPap s.r.o. Doksy$;Divize Sychrov$;Vaclava Pleciteho 11$;Doksy u Kladna$;27364$;62957333$;CZ$;62957333$;Roman Hybner$; $;5146093 Kuzmanova iF$; $; $; $;änaur 0602/294876$;pi.HOTOVA 0312/691871 0602/625718$;400ut volna 2.35,-Kc$; $; $;729675$;0$; 
00270$;Chemicals Lassmann$; $;Sluûovice 195$;Opava$;74735$; $; $; $;Filip Lassak jednate$; $;0653/610322$; $; $; $; $;DOHODA 0-20%p¯es HANZA !platba hotovÏ! min.1 paleta od dru$;obj.fax476741198  HANZA LitvÌnov, Ml˝nsk· 34, V·clav Tich˝$;HANZA 10.1. faxem oznamuje, ûe konËÌ s prodejem v˝robku$;FREDY z duvodu velkÈho zdraûenÌ.$;729681$;0$; 
00271$;SEDLA»EK s.r.o.$; $; $;P¯Ìbram$; $;25123297$;CZ$;5405140202$; $; $;725 421 427$; $;kbelina@seznam.cz$; $;SCA p¯es Karla$; $; $; $;info@sedlacek-karcher.cz   318 626 915$;729681$;0$; 
00272$;CLARE »R$;Symad Group s.r.o.$;Dlouh· t¯Ìda1320/115$;HavÌ¯ov-PodlesÌ$;73601$;64618510$;CZ$;64618510$; $; $;595 956558 i fax$; $; $; $;p. Chmela,pi.Hausova, obj.min. 10.000$;! Sklad, kanc.-ätrambersk· 20,70300,Ostrava-VÌtkovice !$;cena B rabat 20-25 pemza v cel.rabat 30%,z·v.lich.t˝dn˝ st$; $; $;729684$;0$; 
00273$;Finapol, a.s.$; $;Doudlevecka 12$;Plzen$;30133$;61779121$;CZ$;61779121$;Dolejsi$; $;0603/825003$; $; $; $; $; $; $; $; $;729698$;0$; 
00274$;Vesko JiËÌn$; $;Delnicka 15$;Jicin$;50601$;48154393$;CZ$;48154393$; $; $;493 544516$;493524700,493544536$;klaban@vesko.cz$; $; $; $; $;!!!ps·t ceny, za kterÈ chceme!!$;Ceny pouze s Klabanem !!!!!!!$;729713$;0$; 
00275$;Petr Sur˝$;obchodnÌ Ëinnost$;é·dovice 59$;é·dovice$;69649$;62815954$;CZ$;7304054274$; $; $; $; $; $; $; $; $; $; $; $;729719$;0$; 
00276$;Mikov a.s.$; $;c.p.589$;Mikulasovice$;40779$;46713212$;CZ$;46713212$; $; $;0413/394102,f394318$; $; $; $; $; $; $; $; $;729725$;0$; 
00277$;Chemotex DÏËÌn a.s$; $;Tov·rnÌ 63$;DÏËÌn$;40711$;62240471$;CZ$;62240471$; $; $;412 547 461$;412 547 200$;janasejkova@chemotex.cz$; $;Urb·nek , HorËiËkov·  * 547461 fax 412/547200$;602 143 146 GSM     mobil ing. Urbanek Sef 602 287 134$;25%-30%   nad 3.000,- sleva 10% ObchRed ing Mares$;412 709 256 cenÌky$; $;729746$;0$; 
00278$;GABI - Milos Bakes$; $;B.Nemcove 318$;Skutec$;53973$; $; $; $;Josef Prazan$; $;0454/51658$; $; $; $;0602/387871$;POZOR MEL ZAPLATI ZPET 10TIS KC DO KOMISE !!!!!!!!!!!!!!!!$;POZOR REKLAMACE NEPLATIT FA AZ DO VYRIZENI$; $; $;729783$;0$; 
00279$;Vladimir Dedek - DF TRADE$; $;Samaritanska ul.$;Ostrava Vitkovice$;70030$;42068401$;CZ$;5907010384$;Dedek Vladimir$; $;0602/706671$; $; $; $;069/6781984 Subrtova, Dedek 069/6781985,6781904$;obyt-rozvozy pi.Krajickova   069/6781983$;objednavky k rukam p.Stecove$; $; $;729793$;0$; 
00280$;UNIPAR BOHEMIA$; $;Rubesova 393$;Praha 9$;19000$;00299791$;CZ$;00299791$; $; $;02/66313394 i fax$; $; $; $;0603/724031$; $; $; $; $;729797$;0$; 
00281$;Deokn$; $;Rozvoj 107/V$;Klatovy$;33901$; $; $; $; $; $;0186/26783,26438$; $; $; $;zbozi dano na komisi, desky STYL$; $; $; $; $;729824$;0$; 
00282$;Kimberly-Clark$; $;Herspicka 5$;Brno$;63900$; $; $; $; $; $;603437734 Karabcova$; $; $; $;NAHRAZOVAT A-TORK lepöÌ dodavky A LEVNÏJöÌ$;OZ KlobouËek 602/143685  Mozno HMS hyg.sys.2/41012128,163$; $; $; $;729825$;0$; 
00283$;REPROPACK Jablonec nad Nisou$;s.r.o.$;Zlata 10-12$;Jablonec n. Nisou$;46602$;47780223$;CZ$;47780223$;Holasek$; $;483/312951$;483 312 388$;info@lipalbc.cz$; $;ChemoprÈn univ.4.5l-pro Rakmily(AlcaprÈn 50 Avex 5l 374,-)$; $; $; $; $;729853$;0$; 
00284$;Hybler Wipes s.r.o.$; $;Riegrovo namesti 15$;Semily$;51301$;46504486$;CZ$;46504486$; $; $;0428/391324,f390082$; $; $; $;zapujcene 2 palety$; $; $; $; $;729867$;0$; 
00131$;Ceske drahy, statni organizace$;Zasobovaci sklad Prerov$;Kojetinska 690$;Prerov$;75011$;48118664$;CZ$;48118664$; $; $; $; $; $; $;0641/784 456 pÌ. M˝lkov· / fa$; $;fax 0641/205289    {bylo 0641/562266}$; $; $;729870$;0$; 
00285$;Zemedelsko-obchodni druzstvo$; $; $;Bila$; $;00120162$;CZ$;00120162$; $; $; $; $; $; $; $; $; $; $; $;729870$;0$; 
00286$;A.S.A. Liberec s.r.o.$; $;Erbenova 376$;Liberec 8$;46008$;63146746$;CZ$;63146746$; $; $;485 151 806$; $; $; $;SWIFT kÛd banky: CEKOCZPP$;Mezin·r.bank.Ë.uËtu/IBAN/ CZ23 0300 0000 0003 05025583$;¯editel Grof 724 901 816 - popelnÌce v˝mÏna$; $; $;729870$;0$; 
00287$;Solvent »R  s.r.o.$; $;PodÏbrrack· 1162$;äestajovice$;25092$;25069497$;CZ$;370515040$; $; $;737 233 280$;296335512$;kveta.nemcova@pksolvent.cz$; $; $; $; $; $; $;729870$;3$;dle pot¯eby
00288$;Josef Vlasak ALLTECH$; $;Banskobystriska 216$;Liberec 8$;46008$;43229140$;CZ$;261025105$; $; $; $; $; $; $; $; $; $; $; $;729870$;0$; 
00289$;Malec - autodoprava$; $;Novinska 29$;Liberec 20$;46010$;42452449$;CZ$;7009012593$; $; $; $; $; $; $; $; $; $; $; $;729870$;0$; 
00290$;ätefanie Smutn·$;V.O. drogerie PERLA$;Ledce 19$;Ml.Boleslav$;29447$;16542070$;CZ$;5458020282$;Stefanie Smutn·$; $;326 380 188$;326 380 150$;ksmb@seznam.cz$; $;Lybar -14%$;Smutn˝ 603 774 317$;Smutn· 605 123 150$;9-12 2013 150000.-$; $;729870$;0$; 
00291$;Redvel s.r.o.$; $;Denisova 585$;Jicin$;50601$;25282867$;CZ$;25282867$; $; $;493/541333,f 541134$; $; $; $; $; $; P¯Ìjem=sjednan· sleva -14%$; $; $;729870$;0$; 
00292$;Vega plus s.r.o.$; $;Hrbitovni 178$;Zeleznice$;50713$;64793214$;CZ$;64793214$; $; $; $; $; $; $; $; $; $; $; $;729870$;0$; 
00293$;Fin.˙¯ad DPH$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;729870$;0$; 
00294$;N.D.S. distributor Kladno$; $;Manz.Topinkovych 796$;Kladno - DubÌ$;27203$;25645293$;CZ$;25645293$; $; $;0312/645886$; $; $; $;0312/645883-fax$; $; $; $; $;729870$;0$; 
00295$;T-Mobile Czech Republic a.s.$;Radiomobil$;Londynska 730$;Praha 2$;12000$;64949681$;CZ$;64949681$; $; $; $; $; $; $; $; $; $; $; $;729870$;0$; 
00296$;SCVK a.s. Liberec$; $;Sladovnicka 1082$;Liberec 30$;46311$; $;CZ$;49099451$; $; $; $; $; $; $; $; $; $; $; $;729870$;0$; 
00297$;Sochor -VO drogerie Jees$; $;Nymburska 1321$;Varnsdorf$;40747$;15124703$;CZ$;5509171525$; $; $; $; $; $; $; $; $; $; $; $;729871$;0$; 
00298$;Jaroslav Maly$; $;Ledce 122$;Ledce u Ml.Boleslavi$;29447$;12567515$; $; $; $; $; $; $; $; $; $; $; $; $; $;729871$;0$; 
00299$;ABC Drogerie spol.s.r.o.$; $;Riegrovo nam. 1493$;Hradec Kralove$;50002$;42195560$;CZ$;42195560$; $; $;491/840117$;491 840119$;abc.drogerie@worldonline.cz$; $;491/840112      603 490153 ZÔ·rek$;{prodej nabidka-7% z naseho zbozi}$;n·kup 0-12%   rabat 18-20%       Jirkov· sklad 491/840111$;603 820 435 ûd·rkov·$; $;729872$;0$; 
00300$;HYPO Zrebeny Pardubice$; $;S.K.Neumana 230$;Pardubice$;53002$;60876972$;CZ$;501106162$; $; $;040/6303684$; $; $; $; $; $; $; $; $;729872$;0$; 
00301$;ALSON s.r.o. Jablonec n.N$; $;PodlesÌ 19$;Jablonec nad Nisou$;46604$;25000748$;CZ$;25000748$; $; $;0428/312726$; $; $; $; $; $; $; $; $;729872$;0$; 
00302$;FROS OPAVA s.r.o.$;drogerie,kart·ËnickÈ zboûÌ$;TÏöÌnsk· 29$;Opava$;74601$;25878522$;CZ$;25878522$; $; $;tel/fax 553/624824$; $; $; $;obchodnÌ ¯editelka ing.Vedlichov·$;Fl·drov· mladöÌ 777 075 778$;Fladr 777/072650$; $; $;729873$;0$; 
00303$;SAB spol. s r.o. Horice$; $;Cs. armady 109$;Horice$;50801$;15056589$;CZ$;15056589$; $; $;0435/623716$; $; $; $; $; $; $; $; $;729879$;0$; 
00304$;BONADO autodoprava Liberec$; $;Na Mlynku 608$;Liberec$;46001$;14807271$;CZ$;5408261452$;Bouda Petr$; $;048/5113492$; $; $; $;mobil 0602410806$; $; $; $; $;729879$;0$; 
00305$;PHOENIX$;Lekarensky velkoobchod a.s.$;Fibichova 143/II$;Vysoke Myto$;56617$;45359326$;CZ$;45359326$; $; $;0468/557111$; $; $; $;fax: 0468/557415$; $; $; $; $;729879$;0$; 
00306$;VOK - Progress Skalice n.Svit.$; $;Skalice n.Svit. 105$;Skalice n. Svitavou$;67901$;25727338$;CZ$;25727338$; $; $;0501/469129,469335$; $; $; $; $; $; $; $; $;729881$;0$; 
00307$;KORSPOL$; $; $; $; $; $;CZ$; $; $; $;777 002 202$; $;korspol@korspol.cz$; $; $; $; $; $; $;729884$;0$; 
00308$;Klimov· Jitka$; $;Na Jihu 536$;JiËÌn$;50601$;60927313$; $; $; $; $;493/522859$; $;j.klimova@worldonline.cz$; $;zrost¯. öitÌ z·stÏr pro hotel FIT & FUN 0432/528117$; $;Smlouva u KS Ë. 1843$; $; $;729885$;0$; 
00309$;Banchem CZ s.r.o.$; $; $;Hradec Kr·lovÈ$;50003$; $;CZ$; $; $; $; $; $; $; $; $; $; $; $;poboËka Alteru$;729885$;0$; 
00310$;EVAPLAST-velkoobchod$; $;Vsestary 94$;Vsestary$;50312$;11020148$;CZ$;500317074$;Kucera Vladislav$; $;049/5398130-fax$; $; $; $; $; $; $; $; $;729885$;0$; 
00311$;CCS a.s. Praha$;Ceska spol. pro platebni karty$;Chlumcanskeho 5$;Praha 8 - Liben$;18000$;25097768$;CZ$;25097768$; $; $;02/66108108$; $; $; $;fax-02/66314014$; $; $; $; $;729885$;0$; 
00312$;HESTING Elektro s.r.o. Praha$; $;Rubeska 393$;Praha 9$;19000$;299791$;CZ$;00299791$; $; $; $; $; $; $; $; $; $; $; $;729885$;0$; 
00313$;Melichar Jan - autodoprava$; $;Hlavice 80$;Hlavice$;46348$;11416564$;CZ$;6111131345$; $; $;048/277 17 28$; $; $; $; $; $; $; $; $;729886$;0$; 
00314$;TelefÛnica 02 Czech Republic$;a.s.$;Olöansk· 55/5$;Praha 3$;13034$;60193336$;CZ$;60193336$; $; $;048/5556632.5556633$; $; $; $; $; $; $; $; $;729886$;0$; 
00315$;EUROPENA Praha - Bechovice$; $;Sekerovy Loucky$;Turnov$;51101$;62579291$;CZ$;62579291$; $; $;0436/23271.24612$; $; $; $; $; $; $; $; $;729886$;0$; 
00316$;Vyhlidko Jiri Krasna Studanka$; $;Stavebni 199$;Krasna Studanka$;46321$;63751461$;CZ$;5810081772$; $; $; $; $; $; $; $; $; $; $; $;729886$;0$; 
00317$;Pl.z mezd$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;729886$;0$; 
00318$;Krelinova Alena$; $;Svobody 297$;Liberec 15$;46015$;46010165$; $; $; $; $; $; $; $; $; $; $; $; $; $;729886$;0$; 
00319$;Nilfisk$; $; $;241408419$; $; $; $; $; $; $; $; $;info.cz@nilfisk.com$; $; $; $; $; $; $;729886$;0$; 
00320$;SanetrnÌk Jan$; $;Horni Kopecna$;Liberec 6$;46006$;62211145$; $; $; $; $; $; $; $; $;specifick˝ symbol 546920$; $; $; $; $;729886$;0$; 
00321$;Malcova Vera$; $;Novinska 29$;Liberec 20$;46010$;66098548$; $; $; $; $; $; $; $; $; $; $; $; $; $;729886$;0$; 
00322$;Alliexpres »Ìna$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;737626$;65$; 
00323$;Gollova Chrisanti$; $;Dobiasova 20$;Liberec 6$;46006$;67229841$; $; $; $; $; $; $; $; $; $; $; $; $; $;729886$;0$; 
00324$;SG-spol.s r.o$; $;VodnÌ 1971$;ZlÌn$;76001$;25301101$;CZ$;25301101$; $; $;57/7662484$;577 662 441$;fakturace@siga.cz$; $;Siga p¯Ìmo od 03/02 cca0-11.5% viz inv.cenik vË dopravy$;StaÚkov· vedoucÌ slevy$;P¯Ìmo pouze velkÈ mnoûs.0-18% splatnost 14 dnÌ od 26.10.00$;577 662 443,41-p.KrËm·¯ov·-objedn·vky$; $;729886$;0$; 
00325$;DUHACOLOR Dvur Kralove$; $;Husova 129$;Dvur Kralove$;54401$;45536953$;CZ$;45536953$; $; $;499/624173,$; $; $; $;fax-499/329092$;Dohoda 0-7% spl 3 dny p.»ernota$;{Zkusit EVA PRAHA viz desky Duhacolor lepöÌ ceny}$; $; $;729887$;0$; 
00326$;Athos - CZ s.r.o.$; $; $;Syrovice 100$;66467$;25520016$;CZ$;25520016$; $; $;05/47216769$; $; $; $;Sleva 4% KOMISE$; $; $; $; $;729891$;0$; 
00327$;Hofta Marek$; $;Brnenska 256$;Ceska Lipa$;47000$;4459369$; $; $; $; $; $; $; $; $; $; $; $; $; $;729898$;0$; 
00328$;Okresni hospodarska komora$; $;Moskevska 637/6$;Liberec 1$;46001$;48289027$;CZ$;48289027$; $; $;048/5100148$; $; $; $;fax-048/5100767$; $; $; $; $;729898$;0$; 
00329$;Astra computers$; $;1. maje 97$;Liberec 1$;46001$;48272388$;CZ$;6802231722$;Pavel Straka$; $;048/5228378$; $; $; $;fax-048/5228387$; $; $; $; $;729899$;0$; 
00330$;LINDE TECHNOPLYN a.s.$; $; $;LitvÌnov-Z·luûÌ$; $; $;CZ$; $; $; $; $; $; $; $;p.ZahradnÌkov· - such˝ led pro Knorr$;fax 476 709 768$; $; $; $;729899$;0$; 
00331$;KlÌbr Jan Kosmonosy$; $;Vita Nejedleho 241$;Kosmonosy$;29303$;48944874$;CZ$;7307180947$; $; $;326 726287 i fax$; $; $; $;602/436375$;dod·val Arcony$; $; $; $;729899$;0$; 
00332$;JP-Cosmetics s.r.o.$; $;HavlÌËkova 260$;KolÌn$;28002$;25143042$;CZ$;25143042$;Ing. RuûiËka Petr$; $;321/727858$;321 727 860$;jpcosmetics@seznam.cz$; $;mobil 602/370347p.R˘ûiËka obch.z·stupce$;ceny dohoda viz cenÌk öamp. 1.40 polötarek$;rabat 20%, tek. m˝dlo 16%, 10l m˝dlo 22%$; $; $;730594$;0$; 
00333$;SINDY spol.s r.o. Liberec$; $;Zhorelecka 1123/14$;Liberec 1$;46001$;25017063$;CZ$;25017063$; $; $; $; $; $; $; $; $; $; $; $;729901$;0$; 
00334$;TERCIUS Bohemia s.r.o.$; $;Peklov 474$;H¯ebeË$;27345$;25744267$;CZ$;25744267$;Paluska$; $;312 666 422$;312 666 423$;tercius@tercius.cz$; $;Paluska-777 797 256        StriËko-312 666 424$;fakturace-p.Novotn· 312 666 429$;p.Radov· obj.777797250,244*   p.StriËko 777797249-d·vkov$;sleva individulnÌ$;312 666 425/777 797 240 Dvo¯·Ëek /Rada majitelÈ$;729901$;0$; 
00335$;NELA - Darina Bahensk·$;OdÏvnÌ v˝roba$;n·m.MÌru$;Liberec 14$;46014$;14804336$;CZ$;6451216266$; $; $;482 725698$; $; $; $;-10% sleva proKNOOR{ubrusKlimov·-RotextilRokytn481/522409$;Bahemska 608/966833 Pruh345,-Zada440,- Komplstejne lac+30$;Loga vyöÌv·nÌ Dr·palÌk 602/439687$;485100179/602 137766 P.print tisk p.»ern˝  34.-n·öivka$; $;729907$;0$; 
00336$;MACH Upice$; $;n·m. T.G.Masaryka 8$;Upice$;54232$;43467521$;CZ$;6809130240$; $; $;0439/881212-fax$; $; $; $; $; $; $; $; $;729909$;0$; 
00337$;TUMA Josef - autodoprava$; $;Jilove 62$;Hodkovice n.Mohelkou$;46342$;65069919$;CZ$;5709042372$; $; $; $; $; $; $; $; $; $; $; $;729909$;0$; 
00338$;Weidler & Partner Praha$; $;Markova 3$;Praha 5 - Jinonice$;15800$;49354663$;CZ$;49354663$; $; $;02/527363 - fax$; $; $; $; $; $; $; $; $;729909$;0$; 
00339$;SeveroËesk· plyn·rensk·, a.s.$; $;Klisska 940$;Usti nad Labem$;40117$;49903209$;CZ$;49903209$; $; $;482 414 111$; $; $; $; $; $; $; $; $;729909$;0$; 
00340$;Putorius s.r.o.$; $;RuzyÚsk· 269/18$;Praha$;16100$;27127958$;CZ$;27127958$;Vav¯Ìk$; $;731 217 872$; $;obchod@putorius.cz$; $; $; $; $; $; $;737795$;0$; 
00341$;Kopecka Milena JUDr. Liberec$; $;tÍ.1.m·je 97$;Liberec 3$;46001$; $; $; $; $; $; $; $; $; $; $; $; $; $; $;729913$;0$; 
00342$;Krajsky soud Usti nad Labem$; $; $;Usti nad Labem$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;729914$;0$; 
00343$;Rouc Josef Cirkvice$;nakladni autodoprava$;Jakub 66$;Cirkvice$;28533$;63844010$;CZ$;530706070$; $; $;0602/243984$; $; $; $; $; $; $; $; $;729914$;0$; 
00344$;Julius SvÌtek$; $;Post¯eln· 92$;Jablonne v Podjested$;47125$;42166179$;CZ$;5805131310$;p.SvÌtek$; $;487 762569 i fax$; $; $; $;mobil 603540396$; $; $; $; $;731595$;0$; 
00345$;Pavlickova Irena Liberec$;FOLLOW ME cestovni kancelar$;Jablonecka 19/5$;Liberec$;46001$;61529826$; $; $; $; $;048/6133007$; $; $; $; $; $; $; $; $;729916$;0$; 
00346$;Frama plus. s.r.o.$; $;Rezlerova 290$;Praha 10$;10900$; $; $; $; $; $;02/534821i fax$; $; $; $;OZ p. Salamon 0602/240136$;dohoda cenik B - 15%$;02/7860803i fax$; $; $;729921$;0$; 
00347$;Pr·öil ZdenÏk$; $;Husa Ë.p. 1$;Sychrov$;46344$;46039678$; $; $; $; $;723 147805$; $; $; $; $; $; $; $; $;729921$;0$; 
00348$;FACSON, spol.s r.o. Praha$; $;Boleslavova 28$;Praha 4$;14000$;40763374$;CZ$;40763374$; $; $; $; $; $; $; $; $; $; $; $;729923$;0$; 
00349$;Unisale - Gutex s.r.o. Praha$; $;Pocernicka 512$;Praha 10$;10800$;44266588$;CZ$;44266588$;Gut$; $;267 712 343 i fax$; $;gutex@unisale-gutex.cz$; $;ceny viz cenik -7% desky korado$; $;objedn·vka nad 10000 jinak ˙ËtujÌ dopravu/my vyzvedneme$; $;5801$;729923$;2$;dle pot¯eby
00350$;Jan Weber - JW Servis$; $;Vackova 374$;Liberec 23$;46313$;66661340$;CZ$;5504170441$; $; $; $; $; $; $; $; $; $; $; $;729928$;0$; 
00351$;AUTODOPRAVA - ZEMAN$;Milan Zeman$;Old¯ichova 693$;Hradek n.Nisou$;46334$;42137187$;CZ$;510606262$; $; $;482 833 749$; $; $; $;0606/443745$; $; $; $; $;729937$;0$; 
00352$;Martin Eichler EM-STORE$; $;Hodkovick· 443/41$;Liberec 6$;46006$;70210128$;CZ$;7904113459$; $; $;608 030 255$; $;info@em-shop.cz$; $;klip r·m ostr˝ roh A4$; $; $; $; $;737545$;0$; 
00353$;Trifid spol.s.r.o.$; $;Do Klecanek c.57$;Klecany$;25067$;25052641$; $; $; $; $;02/6875265$; $; $; $; $; $; $; $; $;729937$;0$; 
00355$;Hypernova Liberec$; $; $; $; $; $; $; $; $; $; $; $; $; $;Drogerie Frieubaverova  5251794$;Drevene uhli pan Lascak 5251753 nebo 782$; $; $; $;729947$;0$; 
00356$;Jan Chotenovsky$;zednictvi$;Liberecka 287$;Chrastava$;46331$;46035508$;CZ$;46035508$; $; $; $; $; $; $; $; $; $; $; $;729949$;0$; 
00357$;Milan Komarek$; $;Svojsikova 12/944$;Liberec 1$;46001$;61529281$;CZ$;6812050872$; $; $;5106713,0602/270512$; $; $; $; $; $; $; $; $;729949$;0$; 
00358$;KARKO PAPER s.r.o.$; $;PlachÈho 964/33$;PlzeÚ 3$; $;27974049$;Cz$;27974049$;Bezucha$; $;608 224 090$;776 876 177 Bezuö$;office@karkopaper.cz$; $;379 776 183$; $; $; $; $;729950$;0$; 
00359$;Harbich Roman$; $;U Koupali t≥ 561$;Liberec$;46001$;62765493$; $; $; $; $; $; $; $; $; $; $; $; $; $;729950$;0$; 
00360$;Jaroslav Urban$; $;Zav¯en· 295$;Vratislavice n/N$;46311$;64055485$;CZ$;6905282538$; $; $;733 570 133$; $;sul@tabletovasul.cz$; $;sul tabl.25kg pro nem.Boleslav, vûdy vzÌt 2.pal/cena 100,-$; $; $; $; $;729950$;0$; 
00361$;LG-DINEX$; $;P¯ÌbramskÈ n·m.509/4$;Liberec 4$;46001$;48269972$;CZ$;48269972$; $; $; $; $; $; $; $; $; $; $; $;729950$;0$; 
00362$;VENTAX,s.r.o.$; $;R˝novick· 4$;Jablonec nad Nisou$;46601$;61324230$;CZ$;61324230$;KoÍÌnek,Kom·rek$; $;0428/22206$; $; $; $; $; $; $; $; $;729956$;0$; 
00363$;Kvintex - M spol. s r.o.$; $;Klikata 26$;Praha 5$;15800$;64946151$;CZ$;64946151$; $; $;02/663 133 35$; $; $; $;pan MaÚ·k {staröÌ} dobropisy$; $; $; $; $;729963$;0$; 
00364$;CEVAX$; $;Teplick· 147$;BystÍany okr.Teplice$;41761$;13928031$;CZ$;5707101785$; $; $;220 66$; $; $; $; $; $; $; $; $;729968$;0$; 
00365$;Haza Josef, EL -HAZ$; $;Ceska 499$;Liberec 25$;46312$;49083805$;CZ$;6701030974$;Josef Haza$; $;048/5134766$; $; $; $; $; $; $; $; $;729978$;0$; 
00366$;Barum Continental  spol. s.r.o$;obchodnÌ divize Otrokovice$; $;Otrokovice$;76531$; $;CZ$;45788235$; $; $; $; $; $; $; $; $; $; $; $;729978$;0$; 
00367$;Sanosil CZ spol.s r.o.$; $; $;Praha$; $; $;CZ$;25251970$; $; $; $; $; $; $; $; $; $; $; $;729979$;0$; 
00368$;Prodejna zdravotnick˝ch pot¯eb$;M.äIM¡»KOV¡$;Rumunsk· 7$;Liberec 1$;46001$;54905000$; $; $; $; $;482 710730$; $; $; $;zboûÌ pro Peguform$; $; $; $; $;731637$;0$; 
00369$;Hlavaty Lubos$;likvidace tuhúch a neb. odpadæ$;Olbrachtova 619$;Liberec 15$;46015$;44581386$;CZ$;6306130908$; $; $; $; $; $; $; $; $; $; $; $;729989$;0$; 
00370$;Pantera spol s r.o.$;silniÁnÌ staveb. spol.$;Selsk· 12$;Liberec 12$;46012$;48268003$;CZ$;48268003$; $; $; $; $; $; $; $; $; $; $; $;729989$;0$; 
00371$;MEDIATEL spol. s r.o.$; $;Th·mova 16$;Praha 8 KarlÌn$;18600$;17047595$;CZ$;17047595$; $; $; $; $; $; $; $; $; $; $; $;729990$;0$; 
00372$;Bolsito$; $; $;PlzeÚ$; $; $;CZ$; $; $; $; $; $; $; $; $; $; $; $;Lazonky$;730004$;0$; 
00373$;OTAVA VDI Pisek$;vyrobni druzstvo invalidu$;Vinarskeho 374$;Pisek$; $;28649$;CZ$;00028649$; $; $; $; $; $; $; $; $; $; $; $;730011$;0$; 
00374$;»ejan - Eva Janouchov·$; $;Cejkovice 35$;Zbysov v Cechach$;28565$; $; $; $; $; $;606 398 849$; $;eva.janouchova@worldonline.cz$; $;Minim·lnÌ odbÏr 6kartonu za z·voz !!jinak se platÌ doprava$;rabat 20%$;SLEVA ZA HOTOVOST -5%$; $; $;730019$;0$; 
00375$;Styblo Pavel$;Obchodni a zprostedk. cinnost$;Na Zabori 32$;Pardubice$;53002$;18863752$; $; $; $; $; $; $; $; $; $; $; $; $; $;730020$;0$; 
00376$;VIPS Thermica spol. s r.o.$; $;Vanurova 297/16$;Liberec 3$;46001$;25018191$;CZ$;25018191$; $; $; $; $; $; $; $; $; $; $; $;730021$;0$; 
00377$;Sance firma invalidu$; $; $; $; $; $; $; $;Brabcova Hana$; $;0602/134502$; $; $; $;gumucky 1.80 2 druhy mensi i vetsi PR 20mm a 40mm$;desky PALMA+1000$; $; $; $;730033$;0$; 
00378$;KAURO s.r.o.$; $;Zho¯eleck· 1123/14$;Liberec 1$;46001$;61539066$;CZ$;61539066$; $; $;5107882-3$; $; $; $; $; $; $; $; $;730039$;0$; 
00379$;||200708$; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $; $;0$;0$; 
